Rk,Name,Inducted,Yrs,From,To,ASG,WAR/pos,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,GDP,SF,SH,BA,OBP,SLG,OPS
156,Roger Connor,1976,18,1880,1897,0,84.3,1998,8847,7797,1620,2467,441,233,138,1323,244,,1002,455,,,,9,0.316,0.397,0.486,0.883
157,Rogers Hornsby,1942,23,1915,1937,0,127.1,2259,9481,8173,1579,2930,541,169,301,1584,135,81,1038,679,54,3,,216,0.358,0.434,0.577,1.01
158,Ron Santo,2012,15,1960,1974,9,70.5,2243,9397,8143,1138,2254,365,67,342,1331,35,41,1108,1343,94,256,94,13,0.277,0.362,0.464,0.826
159,Ross Youngs,1972,10,1917,1926,0,32.7,1211,5337,4627,812,1491,236,93,42,592,153,93,550,390,6,,,119,0.322,0.399,0.441,0.839
160,Roy Campanella,1969,18,1937,1957,11,42,1449,5727,5030,786,1422,232,31,260,1019,38,20,609,501,114,146,18,35,0.283,0.363,0.496,0.859
161,Ryne Sandberg,2005,16,1981,1997,10,67.9,2164,9282,8385,1318,2386,403,76,282,1061,344,107,761,1260,59,139,71,31,0.285,0.344,0.452,0.795
162,Sam Crawford,1957,19,1899,1917,0,75.3,2517,10625,9570,1391,2961,458,309,97,1523,367,43,760,580,,,,241,0.309,0.362,0.452,0.814
163,Sam Rice,1963,20,1915,1934,0,54.2,2404,10260,9269,1514,2987,498,184,34,1077,351,147,708,275,10,,,213,0.322,0.374,0.427,0.801
164,Sam Thompson,1974,15,1885,1906,0,44.4,1410,6526,5998,1261,1988,343,161,126,1308,232,,452,234,,,,13,0.331,0.384,0.505,0.89
165,Scott Rolen,2023,17,1996,2012,7,70.1,2038,8518,7398,1211,2077,517,43,316,1287,118,49,899,1410,57,150,93,1,0.281,0.364,0.49,0.855
166,Stan Musial,1969,22,1941,1963,24,128.6,3026,12721,10972,1949,3630,725,177,475,1951,78,71,1599,696,298,243,53,35,0.331,0.417,0.559,0.976
167,Ted Simmons,2020,21,1968,1988,8,50.3,2456,9685,8680,1074,2472,483,47,248,1389,21,33,855,694,188,287,100,11,0.285,0.348,0.437,0.785
168,Ted Williams,1966,19,1939,1960,19,121.8,2292,9792,7706,1798,2654,525,71,521,1839,24,17,2021,709,258,197,20,5,0.344,0.482,0.634,1.116
169,Tim Raines,2017,23,1979,2002,7,69.4,2502,10359,8872,1571,2605,430,113,170,980,808,146,1330,966,148,142,76,39,0.294,0.385,0.425,0.81
170,Tommy McCarthy,1946,13,1884,1896,0,16.2,1273,5739,5120,1066,1493,191,53,44,732,468,,536,185,,,,33,0.292,0.364,0.375,0.74
171,Tony Gwynn,2007,20,1982,2001,15,69.2,2440,10232,9288,1383,3141,543,85,135,1138,319,125,790,434,203,259,85,45,0.338,0.388,0.459,0.847
172,Tony Lazzeri,1991,14,1926,1939,1,47.7,1740,7314,6297,986,1840,334,115,178,1194,148,82,869,864,40,8,,116,0.292,0.38,0.467,0.846
173,Tony Oliva,2022,15,1962,1976,8,43,1676,6880,6301,870,1917,329,48,220,947,86,55,448,645,131,139,57,14,0.304,0.353,0.476,0.83
174,Tony Perez,2000,23,1964,1986,7,54,2777,10861,9778,1272,2732,505,79,379,1652,49,33,925,1867,150,268,106,9,0.279,0.341,0.463,0.804
175,Travis Jackson,1982,15,1922,1936,1,44.2,1656,6682,6086,833,1768,291,86,135,929,71,70,412,565,29,39,,171,0.291,0.337,0.433,0.77
176,Tris Speaker,1937,22,1907,1928,0,134.9,2789,12020,10195,1882,3514,792,222,117,1531,436,158,1381,393,4,,,309,0.345,0.428,0.5,0.928
177,Turkey Stearnes,2000,18,1923,1940,5,49.9,993,4279,3807,917,1326,231,113,187,1009,130,,418,,0,0,,25,0.348,0.417,0.616,1.032
178,Ty Cobb,1936,24,1905,1928,0,151.4,3034,13103,11440,2245,4189,724,295,117,1944,897,215,1249,680,9,,,292,0.366,0.433,0.512,0.944
179,Vladimir Guerrero,2018,16,1996,2011,9,59.5,2147,9059,8155,1328,2590,477,46,449,1496,181,94,737,985,250,277,64,0,0.318,0.379,0.553,0.931
180,Wade Boggs,2005,18,1982,1999,12,91.4,2439,10740,9180,1513,3010,578,61,118,1014,24,35,1412,745,180,236,96,29,0.328,0.415,0.443,0.858
181,Willard Brown,2006,11,1937,1948,7,20.2,431,1785,1652,332,580,127,44,54,391,80,2,125,7,1,2,0,4,0.351,0.398,0.579,0.977
182,Willie Keeler,1939,19,1892,1910,0,54.3,2123,9619,8591,1719,2932,241,145,33,810,495,,524,136,,,,366,0.341,0.388,0.415,0.802
183,Willie Mays,1979,23,1948,1973,24,156.1,3005,12545,10924,2068,3293,525,141,660,1909,339,103,1468,1526,214,251,91,13,0.301,0.384,0.557,0.94
184,Willie McCovey,1986,22,1959,1980,6,64.5,2588,9692,8197,1229,2211,353,46,521,1555,26,22,1345,1550,260,176,70,5,0.27,0.374,0.515,0.889
185,Willie Stargell,1988,21,1962,1982,7,57.6,2360,9027,7927,1194,2232,423,55,475,1540,17,16,937,1936,227,143,75,9,0.282,0.36,0.529,0.889
186,Willie Wells,1997,21,1924,1948,10,49.5,1039,4471,3920,932,1292,257,65,140,873,160,,487,,0,,,36,0.33,0.407,0.535,0.943
187,Yogi Berra,1972,19,1946,1965,18,59.5,2120,8364,7555,1175,2150,321,49,358,1430,30,26,704,414,91,146,44,9,0.285,0.348,0.482,0.83
188,Zack Wheat,1959,19,1909,1927,0,60.4,2410,10007,9106,1289,2884,476,172,132,1248,205,73,650,572,15,,,163,0.317,0.367,0.45,0.817
